rcode,term,attempt,q1,q2,q3,q7,q8,q11,q12,q13,q14,n_correct,score
S25-R026,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Senior,9,3.0
S25-R027,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria",No,I utilized the YouTube videos only,Asian,Man,No,Sophomore,9,2.6
S25-R028,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,Yes,Sophomore,11,3.0
S25-R029,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,"Asian,Middle Eastern or North African",Woman,No,Senior,11,2.8
S25-R030,S25,1,G-Finder,True,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,"Hispanic or Latina/o,White",Woman,Yes,Senior,10,2.0
S25-R031,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,Yes,Junior,12,2.8
S25-R032,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,No,Sophomore,10,3.0
S25-R033,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Man,Yes,Junior,11,2.8
S25-R034,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,"Hispanic or Latina/o,White",Man,No,Junior,11,2.8
S25-R035,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,White,Man,No,Senior,9,3.0
S25-R036,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Freshman,9,3.0
S25-R037,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,Yes,Sophomore,11,2.8
S25-R038,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,"Black,African-American",Woman,No,Sophomore,11,3.0
S25-R039,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Junior,10,3.0
S25-R040,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Sophomore,9,2.8
S25-R041,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Freshman,9,3.0
S25-R042,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria",No,I utilized the YouTube videos only,"Hispanic or Latina/o,White",Woman,No,Senior,9,2.6
S25-R043,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,"Hispanic or Latina/o,White",Woman,Yes,Freshman,10,2.8
S25-R044,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,Yes,Senior,11,3.0
S25-R045,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,White,Man,No,Sophomore,11,2.8
S25-R046,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Man,No,Senior,10,2.8
S25-R047,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,Yes,Senior,11,2.8
S25-R048,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Junior,12,2.8
S25-R049,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,Prefer Not to Say,Man,No,Senior,10,2.8
S25-R050,S25,1,G-Finder,False,"Hepatitis A,Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,"Asian,White",Man,No,Junior,12,2.8
S25-R051,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",,,,,,,8,2.8
S25-R052,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Senior,11,2.8
S25-R053,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria",No,I utilized the YouTube videos only,Asian,Woman,Yes,Senior,9,2.8
S25-R054,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Sophomore,11,2.8
S25-R055,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Man,Yes,Sophomore,9,3.0
S25-R056,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",,,,,,,8,2.8
S25-R057,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,2.8
S25-R058,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Senior,11,2.8
S25-R059,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,White,Man,No,Junior,10,3.0
S25-R060,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,,,,,10,2.8
S25-R061,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,White,Man,No,Sophomore,10,2.8
S25-R062,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Hispanic or Latina/o,Woman,No,Sophomore,11,3.0
S25-R063,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Hispanic or Latina/o,Woman,No,Sophomore,11,2.8
S25-R064,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,Yes,Sophomore,11,2.8
S25-R065,S25,1,G-Finder,False,"Leprosy,Dengue",Yes,I utilized the YouTube videos only,Asian,Woman,Yes,Sophomore,10,2.4
S25-R066,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Sophomore,9,2.8
S25-R067,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,"Asian,White",Woman,Yes,Sophomore,9,3.0
S25-R068,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,Prefer not to say,Junior,13,3.0
S25-R069,S25,1,G-Finder,False,"Hepatitis A,Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Hispanic or Latina/o,Man,Yes,Senior,9,2.8
S25-R070,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Junior,10,2.8
S25-R071,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Sophomore,11,2.8
S25-R072,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,Yes,Sophomore,9,2.8
S25-R073,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Hispanic or Latina/o,Man,Yes,Junior,12,2.8
S25-R074,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Prefer Not to Say,Prefer Not to Say,Yes,Junior,11,3.0
S25-R075,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,No,Junior,11,3.0
S25-R076,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",,,Asian,Woman,Prefer not to say,Sophomore,10,2.8
S25-R077,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Prefer Not to Say,Prefer Not to Say,Yes,Sophomore,12,3.0
S25-R078,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Junior,11,2.8
S25-R079,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Junior,10,3.0
W26-R001,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,3.0
W26-R002,W26,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,"Asian,White",Man,No,Junior,12,2.8
W26-R003,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,3.0
W26-R004,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Man,No,Junior,11,3.0
W26-R005,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Sophomore,9,3.0
W26-R006,W26,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Senior,10,2.8
W26-R007,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Junior,11,3.0
W26-R008,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Junior,10,3.0
W26-R009,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Prefer Not to Say,Prefer Not to Say,Prefer not to say,Junior,12,3.0
W26-R010,W26,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Prefer Not to Say,Man,No,Junior,12,2.8
W26-R011,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Man,Yes,Senior,10,3.0
W26-R012,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Hispanic or Latina/o,Woman,No,Junior,12,3.0
W26-R013,W26,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,2.8
W26-R014,W26,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Woman,No,Junior,11,2.8
W26-R015,W26,1,G-Finder,False,"Hepatitis A,Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,No,Junior,12,2.8
W26-R016,W26,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,No,Junior,11,2.8
W26-R017,W26,1,USPTO,False,"Hepatitis A,Dengue,Malaria",No,I utilized the YouTube videos only,White,Woman,No,Junior,9,1.2
W26-R018,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Junior,11,3.0
W26-R019,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,Yes,Junior,10,3.0
W26-R020,W26,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Man,Yes,Junior,12,2.8
W26-R021,W26,1,G-Finder,False,"Hepatitis A,Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,2.8
W26-R022,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,No,Junior,11,3.0
W26-R023,W26,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,3.0
