subject,stimulus,fs_hz,n_epochs,retained_epochs,retained_pct,rejected_pct,clean_var_uv2,artifact_var_uv2,artifact_to_clean_variance_ratio,trimmed
S01,BOR,200,534,336,62.9213483146,37.0786516854,0.000133884394177,0.000889055190809,6.64046916203,False
S01,CLC,200,539,305,56.586270872,43.413729128,6.09808464251e-05,0.000964439057228,15.8154422867,False
S01,INT,200,502,273,54.3824701195,45.6175298805,4.97388334633e-05,0.000386024080262,7.76101997942,False
S02,BOR,200,513,262,51.0721247563,48.9278752437,0.000160938387251,0.000784980244617,4.87752026117,False
S02,CLC,200,508,321,63.188976378,36.811023622,0.000282023742379,0.000956136630455,3.39026999071,False
S02,INT,200,510,289,56.6666666667,43.3333333333,8.17641458603e-05,0.000612504050385,7.49110803935,False
S03,BOR,200,523,388,74.1873804971,25.8126195029,0.000128393525197,0.00156220372004,12.1673091976,False
S03,CLC,200,482,334,69.2946058091,30.7053941909,0.000101029703953,0.00113002967904,11.1851231353,False
S03,INT,200,481,358,74.4282744283,25.5717255717,0.000149344300148,0.00145465644374,9.74028765948,False
S04,BOR,200,510,321,62.9411764706,37.0588235294,0.000170940795219,0.000499778965863,2.92369627286,False
S04,CLC,200,514,319,62.0622568093,37.9377431907,0.000158774500685,0.000626593358114,3.94643570228,False
S04,INT,200,507,357,70.4142011834,29.5857988166,0.000121196287007,0.00042845410946,3.53520821506,False
S05,BOR,200,517,340,65.7640232108,34.2359767892,0.000127449811999,0.0106224706282,83.3463028438,False
S05,CLC,200,482,224,46.4730290456,53.5269709544,0.000171810022605,0.00128740901607,7.49321254111,False
S05,INT,200,505,345,68.3168316832,31.6831683168,0.000155095945991,0.00935403152067,60.3112574019,False
S06,BOR,200,510,324,63.5294117647,36.4705882353,9.74815733477e-05,0.000581360589433,5.96379981845,True
S06,CLC,200,505,323,63.9603960396,36.0396039604,9.72901368387e-05,0.00058797240051,6.04349443444,False
S06,INT,200,569,402,70.6502636204,29.3497363796,6.43709540443e-05,0.000699042118362,10.859589216,False
S07,BOR,200,568,418,73.5915492958,26.4084507042,0.000161453758326,0.000705359256337,4.36880047669,False
S07,CLC,200,558,398,71.3261648746,28.6738351254,8.10853008817e-05,0.000606507129139,7.47986530904,False
S07,INT,200,510,347,68.0392156863,31.9607843137,0.000121533921303,0.00346929792156,28.5459226885,True
S08,BOR,200,509,336,66.0117878193,33.9882121807,3.07726019301e-05,0.000630617325568,20.4928178319,False
S08,CLC,200,520,189,36.3461538462,63.6538461538,4.81623188119e-05,0.000577828155781,11.9975152782,False
S08,INT,200,504,222,44.0476190476,55.9523809524,7.97383721552e-05,0.000603760289017,7.57176592271,False
