subject,stimulus,bin,pct_of_episode,openness
S03,BOR,51,51.5,0.952380952381
S03,BOR,52,52.5,0.952380952381
S03,BOR,53,53.5,0.857142857143
S03,BOR,54,54.5,0.571428571429
S03,BOR,55,55.5,0.727272727273
S03,BOR,56,56.5,0.809523809524
S03,BOR,57,57.5,0.857142857143
S03,BOR,58,58.5,0.904761904762
S03,BOR,59,59.5,1
S03,BOR,60,60.5,0.952380952381
S03,BOR,61,61.5,0.904761904762
S03,BOR,62,62.5,0.52380952381
S03,BOR,63,63.5,0.863636363636
S03,BOR,64,64.5,0.809523809524
S03,BOR,65,65.5,0.619047619048
S03,BOR,66,66.5,0.619047619048
S03,BOR,67,67.5,0.809523809524
S03,BOR,68,68.5,0.952380952381
S03,BOR,69,69.5,0.818181818182
S03,BOR,70,70.5,0.809523809524
S03,BOR,71,71.5,0.904761904762
S03,BOR,72,72.5,0.761904761905
S03,BOR,73,73.5,0.714285714286
S03,BOR,74,74.5,0.714285714286
S03,BOR,75,75.5,0.666666666667
S03,BOR,76,76.5,0.818181818182
S03,BOR,77,77.5,0.904761904762
S03,BOR,78,78.5,0.619047619048
S03,BOR,79,79.5,0.809523809524
S03,BOR,80,80.5,0.52380952381
S03,BOR,81,81.5,0.333333333333
S03,BOR,82,82.5,0.619047619048
S03,BOR,83,83.5,0.52380952381
S03,BOR,84,84.5,0.681818181818
S03,BOR,85,85.5,0.571428571429
S03,BOR,86,86.5,0.714285714286
S03,BOR,87,87.5,0.761904761905
S03,BOR,88,88.5,0.952380952381
S03,BOR,89,89.5,0.952380952381
S03,BOR,90,90.5,1
S03,BOR,91,91.5,0.904761904762
S03,BOR,92,92.5,1
S03,BOR,93,93.5,0.714285714286
S03,BOR,94,94.5,0.571428571429
S03,BOR,95,95.5,0.904761904762
S03,BOR,96,96.5,0.52380952381
S03,BOR,97,97.5,1
S03,BOR,98,98.5,1
S03,BOR,99,99.5,0.809523809524
S04,BOR,0,0.5,0.92
S04,BOR,1,1.5,0.96
S04,BOR,2,2.5,0.88
S04,BOR,3,3.5,0.916666666667
S04,BOR,4,4.5,0.92
S04,BOR,5,5.5,0.88
S04,BOR,6,6.5,0.92
S04,BOR,7,7.5,0.875
S04,BOR,8,8.5,0.96
S04,BOR,9,9.5,0.8
S04,BOR,10,10.5,0.833333333333
