surface,scope,pair,n,wilcoxon_p,effect_rb,n_first_lower,direction,median_diff,poolable,holm_p,significant
eye openness,R1-unified,CLCvINT,8,0.3125,0.444444444444,2,2/8,0.0185,True,0.3125,False
eye openness,R2,BORvCLC,4,0.125,-1,4,4/4,-0.0903606598823,True,0.375,False
eye openness,R2,BORvINT,4,0.125,-1,4,4/4,-0.0747051180822,True,0.375,False
eye openness,R2,CLCvINT,4,0.625,0.4,2,2/4,0.00963423337128,True,0.625,False
eye openness,R2-trimmed,BORvCLC,4,0.125,-1,4,4/4,-0.09858995528,True,0.375,False
eye openness,R2-trimmed,BORvINT,4,0.125,-1,4,4/4,-0.060231261469,True,0.375,False
eye openness,R2-trimmed,CLCvINT,4,0.625,0.4,2,2/4,0.00613365595287,True,0.625,False
gaze deviation median,R1-asis,BORvCLC,8,0.9453125,0.0555555555556,3,3/8,0.0140137306352,False,1,False
gaze deviation median,R1-asis,BORvINT,8,0.1484375,0.611111111111,1,1/8,0.0159860571179,False,0.4453125,False
gaze deviation median,R1-asis,CLCvINT,8,0.640625,0.222222222222,3,3/8,0.000870741995762,False,1,False
gaze deviation median,R1-unified,BORvCLC,8,0.84375,0.111111111111,3,3/8,0.0140137306352,False,1,False
gaze deviation median,R1-unified,BORvINT,8,0.1484375,0.611111111111,1,1/8,0.0159860571179,False,0.4453125,False
gaze deviation median,R1-unified,CLCvINT,8,0.640625,0.222222222222,3,3/8,0.000870741995762,False,1,False
gaze deviation median,R2,BORvCLC,4,0.125,1,0,0/4,0.0114774057694,False,0.375,False
gaze deviation median,R2,BORvINT,4,0.125,1,0,0/4,0.0279602801075,False,0.375,False
gaze deviation median,R2,CLCvINT,4,1,0,2,2/4,-0.000589586145646,False,1,False
gaze deviation variance,R1-asis,BORvCLC,8,0.4609375,0.333333333333,4,4/8,9.67588959324e-05,False,0.9375,False
gaze deviation variance,R1-asis,BORvINT,8,0.3828125,0.388888888889,2,2/8,0.00116946923439,False,0.9375,False
gaze deviation variance,R1-asis,CLCvINT,8,0.3125,-0.444444444444,6,6/8,-0.000852493810571,False,0.9375,False
gaze deviation variance,R1-unified,BORvCLC,8,0.1953125,0.555555555556,3,3/8,0.00215467386815,False,0.5859375,False
gaze deviation variance,R1-unified,BORvINT,8,0.25,0.5,2,2/8,0.00178739302473,False,0.5859375,False
gaze deviation variance,R1-unified,CLCvINT,8,0.1953125,-0.555555555556,6,6/8,-0.000852493810571,False,0.5859375,False
gaze deviation variance,R2,BORvCLC,4,0.375,0.6,1,1/4,0.00135483264981,False,1,False
gaze deviation variance,R2,BORvINT,4,0.625,-0.4,2,2/4,-0.000105112215606,False,1,False
gaze deviation variance,R2,CLCvINT,4,0.625,-0.4,3,3/4,-0.00161243314842,False,1,False
pupil dilation,POOLED N=12,BORvCLC,12,0.00927734375,-0.820512820513,10,10/12,-0.154834167822,True,0.02783203125,True
pupil dilation,POOLED N=12,BORvINT,12,0.09228515625,-0.564102564103,9,9/12,-0.207486316643,True,0.1845703125,False
pupil dilation,POOLED N=12,CLCvINT,12,0.9697265625,0.025641025641,7,7/12,-0.057835902909,True,0.9697265625,False
pupil dilation,R1-asis,BORvCLC,8,0.0078125,-1,8,8/8,-0.179659195579,True,0.0234375,True
pupil dilation,R1-asis,BORvINT,8,0.25,-0.5,6,6/8,-0.162283266712,True,0.5,False
pupil dilation,R1-asis,CLCvINT,8,0.7421875,0.166666666667,4,4/8,0.000665734559249,True,0.7421875,False
pupil dilation,R1-unified,BORvCLC,8,0.0078125,-1,8,8/8,-0.181070536552,True,0.0234375,True
pupil dilation,R1-unified,BORvINT,8,0.25,-0.5,6,6/8,-0.162283266712,True,0.5,False
pupil dilation,R1-unified,CLCvINT,8,0.7421875,0.166666666667,4,4/8,0.000665734559249,True,0.7421875,False
pupil dilation,R2,BORvCLC,4,0.625,-0.4,2,2/4,-0.0121269790593,True,1,False
pupil dilation,R2,BORvINT,4,0.25,-0.8,3,3/4,-0.222460597311,True,0.75,False
pupil dilation,R2,CLCvINT,4,0.875,-0.2,3,3/4,-0.213334554851,True,1,False
