subject,stimulus,round,variant,window,signal,stat,value
R2-01,BOR,2,native,r1matched,right_eye_dilation,delta_last_first_third,-0.404321949498
R2-01,BOR,2,native,r1matched,right_eye_dilation,max,4.169586
R2-01,BOR,2,native,r1matched,right_eye_dilation,mean,2.7522750865
R2-01,BOR,2,native,r1matched,right_eye_dilation,median,2.67099
R2-01,BOR,2,native,r1matched,right_eye_dilation,min,2.008774
R2-01,BOR,2,native,r1matched,right_eye_dilation,sd,0.338102803931
R2-01,BOR,2,native,r1matched,right_eye_dilation,slope,-0.000818363295507
R2-01,BOR,2,native,r1matched,right_eye_dilation,third1,3.00415350721
R2-01,BOR,2,native,r1matched,right_eye_dilation,third2,2.65284991882
R2-01,BOR,2,native,r1matched,right_eye_dilation,third3,2.59982815436
R2-01,CLC,2,native,full,cognitive_load,delta_last_first_third,-0.160253238182
R2-01,CLC,2,native,full,cognitive_load,max,0.891482
R2-01,CLC,2,native,full,cognitive_load,mean,0.520130985556
R2-01,CLC,2,native,full,cognitive_load,median,0.54624815
R2-01,CLC,2,native,full,cognitive_load,min,0.1215075
R2-01,CLC,2,native,full,cognitive_load,sd,0.16858624513
R2-01,CLC,2,native,full,cognitive_load,slope,-0.00022370327364
R2-01,CLC,2,native,full,cognitive_load,third1,0.587551643333
R2-01,CLC,2,native,full,cognitive_load,third2,0.545542908182
R2-01,CLC,2,native,full,cognitive_load,third3,0.427298405152
R2-01,CLC,2,native,full,eye_gaze_deviation,delta_last_first_third,-0.056895900692
R2-01,CLC,2,native,full,eye_gaze_deviation,max,0.697527387823
R2-01,CLC,2,native,full,eye_gaze_deviation,mean,0.181940419111
R2-01,CLC,2,native,full,eye_gaze_deviation,median,0.168247341944
R2-01,CLC,2,native,full,eye_gaze_deviation,min,0.0146013047654
R2-01,CLC,2,native,full,eye_gaze_deviation,sd,0.105654053911
R2-01,CLC,2,native,full,eye_gaze_deviation,slope,-6.35833107444e-05
R2-01,CLC,2,native,full,eye_gaze_deviation,third1,0.215500604564
R2-01,CLC,2,native,full,eye_gaze_deviation,third2,0.171715948896
R2-01,CLC,2,native,full,eye_gaze_deviation,third3,0.158604703872
R2-01,CLC,2,native,full,eye_openness,third1,0.972545696647
R2-01,CLC,2,native,full,eye_openness,third2,0.97023362789
R2-01,CLC,2,native,full,eye_openness,third3,0.964945408768
R2-01,CLC,2,native,full,hr,delta_last_first_third,2.21212121212
R2-01,CLC,2,native,full,hr,max,76
R2-01,CLC,2,native,full,hr,mean,58.7171717172
R2-01,CLC,2,native,full,hr,median,58
R2-01,CLC,2,native,full,hr,min,54
R2-01,CLC,2,native,full,hr,sd,3.32057240506
R2-01,CLC,2,native,full,hr,slope,0.00228747478996
R2-01,CLC,2,native,full,hr,third1,58.2121212121
R2-01,CLC,2,native,full,hr,third2,57.5151515152
R2-01,CLC,2,native,full,hr,third3,60.4242424242
R2-01,CLC,2,native,full,left_eye_dilation,delta_last_first_third,-0.135943812314
R2-01,CLC,2,native,full,left_eye_dilation,max,4.088135
R2-01,CLC,2,native,full,left_eye_dilation,mean,2.86076797353
R2-01,CLC,2,native,full,left_eye_dilation,median,2.833466
R2-01,CLC,2,native,full,left_eye_dilation,min,1.774094
R2-01,CLC,2,native,full,left_eye_dilation,sd,0.244416061367
R2-01,CLC,2,native,full,left_eye_dilation,slope,-0.000157488440197
R2-01,CLC,2,native,full,left_eye_dilation,third1,2.94208271127
R2-01,CLC,2,native,full,left_eye_dilation,third2,2.83408231035
R2-01,CLC,2,native,full,left_eye_dilation,third3,2.80613889895
R2-01,CLC,2,native,full,right_eye_dilation,delta_last_first_third,-0.117057952177
R2-01,CLC,2,native,full,right_eye_dilation,max,3.890106
R2-01,CLC,2,native,full,right_eye_dilation,mean,2.68081517529
R2-01,CLC,2,native,full,right_eye_dilation,median,2.6446915
R2-01,CLC,2,native,full,right_eye_dilation,min,2.040176
R2-01,CLC,2,native,full,right_eye_dilation,sd,0.248483915033
R2-01,CLC,2,native,full,right_eye_dilation,slope,-0.000127941695511
R2-01,CLC,2,native,full,right_eye_dilation,third1,2.76647014214
R2-01,CLC,2,native,full,right_eye_dilation,third2,2.62656549736
R2-01,CLC,2,native,full,right_eye_dilation,third3,2.64941067185
R2-01,CLC,2,native,r1matched,cognitive_load,delta_last_first_third,-0.14114832197
R2-01,CLC,2,native,r1matched,cognitive_load,max,0.891482
R2-01,CLC,2,native,r1matched,cognitive_load,mean,0.528775511237
R2-01,CLC,2,native,r1matched,cognitive_load,median,0.5533328
R2-01,CLC,2,native,r1matched,cognitive_load,min,0.1626673
R2-01,CLC,2,native,r1matched,cognitive_load,sd,0.166463090265
R2-01,CLC,2,native,r1matched,cognitive_load,slope,-0.000292620551279
R2-01,CLC,2,native,r1matched,cognitive_load,third1,0.590850306818
R2-01,CLC,2,native,r1matched,cognitive_load,third2,0.545774242045
R2-01,CLC,2,native,r1matched,cognitive_load,third3,0.449701984848
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,delta_last_first_third,-0.0779309103855
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,max,0.703943645809
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,mean,0.1760510431
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,median,0.160077812415
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,min,0.0135120657339
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,sd,0.106763830282
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,slope,-0.000128404939453
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,third1,0.224070042789
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,third2,0.157938036562
R2-01,CLC,2,native,r1matched,eye_gaze_deviation,third3,0.146146022913
R2-01,CLC,2,native,r1matched,eye_openness,third1,0.966123079835
R2-01,CLC,2,native,r1matched,eye_openness,third2,0.973567170299
R2-01,CLC,2,native,r1matched,eye_openness,third3,0.964894019682
R2-01,CLC,2,native,r1matched,hr,delta_last_first_third,2.68
R2-01,CLC,2,native,r1matched,hr,max,76
R2-01,CLC,2,native,r1matched,hr,mean,58.5
R2-01,CLC,2,native,r1matched,hr,median,58
R2-01,CLC,2,native,r1matched,hr,min,54
R2-01,CLC,2,native,r1matched,hr,sd,3.57047926022
R2-01,CLC,2,native,r1matched,hr,slope,0.00388402655989
R2-01,CLC,2,native,r1matched,hr,third1,57.52
R2-01,CLC,2,native,r1matched,hr,third2,57.78
R2-01,CLC,2,native,r1matched,hr,third3,60.2
R2-01,CLC,2,native,r1matched,left_eye_dilation,delta_last_first_third,-0.169126944817
R2-01,CLC,2,native,r1matched,left_eye_dilation,max,4.021988
R2-01,CLC,2,native,r1matched,left_eye_dilation,mean,2.8367401577
R2-01,CLC,2,native,r1matched,left_eye_dilation,median,2.8069
R2-01,CLC,2,native,r1matched,left_eye_dilation,min,2.200958
R2-01,CLC,2,native,r1matched,left_eye_dilation,sd,0.23459498408
R2-01,CLC,2,native,r1matched,left_eye_dilation,slope,-0.000293452569978
R2-01,CLC,2,native,r1matched,left_eye_dilation,third1,2.94317715634
R2-01,CLC,2,native,r1matched,left_eye_dilation,third2,2.79299757599
R2-01,CLC,2,native,r1matched,left_eye_dilation,third3,2.77404778181
R2-01,CLC,2,native,r1matched,right_eye_dilation,delta_last_first_third,-0.166487173312
R2-01,CLC,2,native,r1matched,right_eye_dilation,max,3.890106
R2-01,CLC,2,native,r1matched,right_eye_dilation,mean,2.65440096758
R2-01,CLC,2,native,r1matched,right_eye_dilation,median,2.619156
R2-01,CLC,2,native,r1matched,right_eye_dilation,min,2.040176
R2-01,CLC,2,native,r1matched,right_eye_dilation,sd,0.235486225986
R2-01,CLC,2,native,r1matched,right_eye_dilation,slope,-0.00028452422266
R2-01,CLC,2,native,r1matched,right_eye_dilation,third1,2.77370633739
R2-01,CLC,2,native,r1matched,right_eye_dilation,third2,2.58227740127
R2-01,CLC,2,native,r1matched,right_eye_dilation,third3,2.60721916408
R2-01,INT,2,native,full,cognitive_load,delta_last_first_third,-0.051757590031
R2-01,INT,2,native,full,cognitive_load,max,0.8144923
R2-01,INT,2,native,full,cognitive_load,mean,0.538119586179
R2-01,INT,2,native,full,cognitive_load,median,0.5481484
R2-01,INT,2,native,full,cognitive_load,min,0.07104978
R2-01,INT,2,native,full,cognitive_load,sd,0.1549545357
R2-01,INT,2,native,full,cognitive_load,slope,-7.357439072e-05
R2-01,INT,2,native,full,cognitive_load,third1,0.576881529969
R2-01,INT,2,native,full,cognitive_load,third2,0.51178141548
R2-01,INT,2,native,full,cognitive_load,third3,0.525772267077
R2-01,INT,2,native,full,eye_gaze_deviation,delta_last_first_third,0.00882948539115
R2-01,INT,2,native,full,eye_gaze_deviation,max,0.673857617202
R2-01,INT,2,native,full,eye_gaze_deviation,mean,0.172418699451
R2-01,INT,2,native,full,eye_gaze_deviation,median,0.142534995211
R2-01,INT,2,native,full,eye_gaze_deviation,min,0.00916055420772
R2-01,INT,2,native,full,eye_gaze_deviation,sd,0.114464659618
R2-01,INT,2,native,full,eye_gaze_deviation,slope,9.46892631468e-06
R2-01,INT,2,native,full,eye_gaze_deviation,third1,0.167023715129
R2-01,INT,2,native,full,eye_gaze_deviation,third2,0.174374019534
R2-01,INT,2,native,full,eye_gaze_deviation,third3,0.175858180919
R2-01,INT,2,native,full,eye_openness,third1,0.934976319516
R2-01,INT,2,native,full,eye_openness,third2,0.899931643963
R2-01,INT,2,native,full,eye_openness,third3,0.915409403838
R2-01,INT,2,native,full,hr,delta_last_first_third,1.64285714286
R2-01,INT,2,native,full,hr,max,76
R2-01,INT,2,native,full,hr,mean,64.5813953488
R2-01,INT,2,native,full,hr,median,64
R2-01,INT,2,native,full,hr,min,60
R2-01,INT,2,native,full,hr,sd,3.3058419459
R2-01,INT,2,native,full,hr,slope,0.000397787346042
R2-01,INT,2,native,full,hr,third1,62.8214285714
R2-01,INT,2,native,full,hr,third2,66.5357142857
R2-01,INT,2,native,full,hr,third3,64.4
R2-01,INT,2,native,full,left_eye_dilation,delta_last_first_third,-0.00530627539047
R2-01,INT,2,native,full,left_eye_dilation,max,4.862915
R2-01,INT,2,native,full,left_eye_dilation,mean,3.07828638474
