stimulus,round,channel,pct_of_episode,median,q1,q3,n_subjects
INT,1,eye openness,77.5,0.916083916084,0.882211538461,1,8
INT,1,eye openness,78.5,0.951945080092,0.905517241379,0.962962962963,8
INT,1,eye openness,79.5,0.923076923077,0.89375,0.954545454545,8
INT,1,eye openness,80.5,0.902380952381,0.894636015326,0.923913043478,8
INT,1,eye openness,81.5,0.906521739131,0.871052631579,0.942307692308,8
INT,1,eye openness,82.5,0.860708534621,0.845833333333,0.964285714286,8
INT,1,eye openness,83.5,0.848076923077,0.825652173913,0.876136363636,8
INT,1,eye openness,84.5,0.884868421052,0.865136876006,0.95664983165,8
INT,1,eye openness,85.5,0.93152173913,0.831896551724,0.967391304347,8
INT,1,eye openness,86.5,0.902962962963,0.80938697318,0.954545454545,8
INT,1,eye openness,87.5,0.919871794872,0.899068322981,0.971153846154,8
INT,1,eye openness,88.5,0.919484702093,0.89375,1,8
INT,1,eye openness,89.5,0.887163561077,0.857727272727,0.942307692308,8
INT,1,eye openness,90.5,0.924501424501,0.9125,0.951630434782,8
INT,1,eye openness,91.5,0.95119047619,0.907824933687,0.958132045088,8
INT,1,eye openness,92.5,0.963527851458,0.921474358975,1,8
INT,1,eye openness,93.5,0.957671957672,0.892045454546,0.972222222222,8
INT,1,eye openness,94.5,0.923076923077,0.862173913043,0.950595238095,8
INT,1,eye openness,95.5,0.957671957672,0.854885057471,0.972222222222,8
INT,1,eye openness,96.5,0.92619047619,0.831896551724,0.971153846154,8
INT,1,eye openness,97.5,0.964240102171,0.911835748792,1,8
INT,1,eye openness,98.5,0.908902691511,0.861378205128,0.950595238095,8
INT,1,eye openness,99.5,0.919444444445,0.866666666667,0.958770614692,8
INT,2,eye openness,0.5,0.790444896803,0.719067892255,0.877053851273,4
INT,2,eye openness,1.5,0.664264895956,0.289478619655,0.943892314573,4
INT,2,eye openness,2.5,0.454529243937,0,0.910831931749,4
INT,2,eye openness,3.5,0.546070166879,0.246835443038,0.815754032246,4
INT,2,eye openness,4.5,0.914012715824,0.815191470562,0.991640946502,4
INT,2,eye openness,5.5,0.965762418493,0.946619772379,0.984883673868,4
INT,2,eye openness,6.5,0.972173165093,0.728499627699,0.973072877142,4
INT,2,eye openness,7.5,0.952123695689,0.711235955056,0.966949588477,4
INT,2,eye openness,8.5,0.958750875991,0.772317061887,0.971026308474,4
INT,2,eye openness,9.5,0.941368621014,0.916094108652,0.9587304374,4
INT,2,eye openness,10.5,0.966547909129,0.951557235719,0.975298161604,4
